Amount Earned,Completed Jobs ,USD/Hour,On Time,On Budget,Repeat Hire Rate,Accept Rate,Country,Overall Rating,Reviews Count,Education,Work Experience,Number of Certificates,User_ID_Hashed
8.5,100,20,99,99.0,22.0,60.0,India,5.0,700.0,1.0,1.0,2,cc7d66ca44585454659538962d1c541416f129753f774d3609d60033f653b412
9.3,97,15,85,96.0,24.0,85.0,India,4.9,207.0,1.0,1.0,8,e58b40ae7508b13ee5fe55779934f0208ef6160f655a53fee7c9abc959a799b1
8.5,99,30,98,98.0,20.0,97.0,India,4.9,100.0,0.0,0.0,3,f64afe22823379af7e0d24f14d2b7f7bdb560ec600b2618639dba4ee22ffe101
7.2,100,100,100,100.0,33.0,90.0,Pakistan,5.0,22.0,1.0,2.0,6,6d9baa59ec166bd516b860ef47bfff6210461fef56957bbcff78f1ed21432afb
8.6,95,16,98,90.0,9.0,90.0,India,4.9,174.0,1.0,3.0,3,a199f967a66ddfbf2698251d9388a1b5ad9f1278edd9e9aad658eba4a40df438
9.9,98,2,95,94.0,21.0,87.0,India,4.8,1874.0,1.0,1.0,9,e42b041beb904b52f56047df2a0f2bd62fef7456ea2b508aee003357de17d076
7.2,100,25,98,100.0,22.0,97.0,Pakistan,5.0,42.0,1.0,2.0,1,5b3636af2a67ff936f297642e9d953dca01deff7c107ea8bdb4104a76cc3bb34
9.1,99,9,91,94.0,7.0,91.0,India,4.9,1528.0,1.0,1.0,3,66d06dd49f50ec5b42c200d836d12d2aceefeb022300971f3717c5b4b311720b
8.0,96,30,92,95.0,8.0,58.0,Pakistan,4.9,275.0,1.0,1.0,4,9138fd91e373919b042877b358cc5cd649fa223004049fbd7df628cb49765a7b
7.3,100,30,99,100.0,36.0,93.0,India,5.0,41.0,0.0,0.0,7,8fc337027811c71411f7f94ca28d6c791aef2ec46a0818ec49e83dd9431cb4c4
7.8,100,15,99,96.0,23.0,58.0,India,5.0,245.0,1.0,2.0,1,dd30e19dac0f339c132bc46f916462af976f87f26b36b7e461cec18073c54c22
8.3,97,30,95,96.0,11.0,73.0,Pakistan,5.0,803.0,1.0,0.0,3,cde545c4ad24eb67d7ff814e759a6aa0e75ba74eac70b55e31e05f9f0f799cc5
8.3,99,50,98,98.0,19.0,81.0,Bosnia And Herzegovina,5.0,260.0,1.0,2.0,3,52aa846dbcddeaf57f4d47634797407ad041a1d2ce240baff88576e3794b3c8f
8.3,97,18,99,99.0,18.0,88.0,India,4.9,87.0,1.0,1.0,3,408668bbf4738b084119b87f250df2493e254150242ba46ae03772dd749648fa
8.8,99,35,97,96.0,21.0,92.0,India,4.9,332.0,1.0,1.0,1,371b7e2805642fb2fcd13b19138a13b3b80ee1d7dbaab68e2ba1419c3696ea66
10.0,95,50,90,95.0,19.0,92.0,India,4.9,378.0,1.0,1.0,4,7a6d0e137edbde268bab99301fc90a29a13828a087dfee9faffc403cfc2c1b60
10.0,100,50,100,100.0,39.0,100.0,Andorra,5.0,124.0,0.0,0.0,4,a88500780b8741a680716e57ad513f3f1baa49c3dd7f0972f6cfe98016b07c18
9.0,98,30,86,90.0,19.0,92.0,India,4.9,262.0,1.0,1.0,11,62f00bd31e016deb8a643b452139081a622b0b541880d900c5a84ed020995101
7.1,98,30,99,99.0,14.0,77.0,Venezuela,5.0,48.0,0.0,0.0,1,3f553341e1bdf81bb7b0bb37fcf8d07d18dc3f5fd74960d22705e5e2726d5860
9.3,99,25,97,98.0,27.0,91.0,India,4.9,983.0,1.0,1.0,15,9ff9252144a6fbedf3f0994935d1af1c0191e8168af2f24a558af614e886e288
7.2,100,38,100,100.0,29.0,86.0,Pakistan,5.0,42.0,1.0,3.0,2,076ed12cd5e4d0b1440df41ddd865e76b10d87dd8e537bddcba0e1ab4605ec52
7.6,97,20,98,99.0,6.0,84.0,Bangladesh,5.0,132.0,1.0,1.0,1,00880dd6892fa67d1142d20a641f9d01820a385a5e319c5cc738ca6f393d7631
8.4,98,60,100,95.0,26.0,86.0,Germany,5.0,133.0,1.0,0.0,2,77105aaa54b3a2207e77bee5b0324c9c357e06a71ad6a281f4e4e9c540bdbf82
10.0,99,35,96,96.0,10.0,91.0,India,5.0,3356.0,1.0,1.0,8,98a114c3be4535201850415068d4d7ec1dc1c94577bf99cb5cd11fc6a6f85616
9.6,99,25,100,100.0,18.0,73.0,Pakistan,5.0,149.0,1.0,1.0,6,e460dc153668ad33a4cf500e2004ac6fc1e0640cee4a394435a9cde9be02273d
7.4,97,30,96,98.0,11.0,47.0,Pakistan,4.9,193.0,1.0,3.0,1,672987c8c762b401e0481972766fa1e839f9f2911affa2154b4645918f74cb4e
8.5,99,22,93,94.0,27.0,92.0,India,5.0,741.0,1.0,2.0,2,cfb851a627df0c99633ca89b9eaccb4c6ced931d9db9963adc4370a16caeaeb3
8.6,99,25,90,94.0,14.0,78.0,Pakistan,5.0,412.0,1.0,1.0,2,e7afffa6445def018892e291a4137be5e0a1b259ab15cf63d2fabb308fc107ad
8.3,100,20,100,99.0,16.0,83.0,India,5.0,717.0,1.0,1.0,2,b108b69d0aca74fb1c5a085aa1da45ad287bceef2dbf608a873b53f876df84de
8.0,91,25,93,95.0,11.0,92.0,India,4.9,227.0,1.0,1.0,2,9d9ead777af6776e55d0e62bebb2361c1f8858517a61ab6e05eeeba7edc3218c
6.9,100,50,100,100.0,5.0,88.0,Pakistan,5.0,210.0,1.0,3.0,15,925ad515bdd4f4ce47b1d3feee5289a5478e1e3d49f32e716203a9000e018ab4
7.9,98,15,96,97.0,23.0,95.0,Bangladesh,4.9,406.0,1.0,1.0,6,3afdf6e13763809ae2ea63cbcc86ecdd4757a782bfbffad763528692e6963cc6
8.2,94,30,98,96.0,9.0,68.0,India,4.9,162.0,0.0,2.0,2,3d9c2bb1c79e747a4e1180c4b8d67bc3d7183890991857454b1ec1e6c7099e5e
8.4,98,35,98,95.0,14.0,73.0,Pakistan,5.0,238.0,0.0,0.0,3,d65f5b9292865b78b0201217614a9ede3650a399bc5ff26b49002f8b81b79d05
7.8,97,25,99,100.0,21.0,55.0,Pakistan,4.9,60.0,1.0,0.0,10,28408cd5c378a79edd2bb2fc30921bfd2dee3c94d37b4857f5e2b3b7f87811b5
7.5,100,30,100,100.0,10.0,96.0,Bangladesh,5.0,15.0,1.0,3.0,15,06d74e444fe99bfe13c250c41351ad468b5977bf6cb96ec54733bdd0afe2a151
9.3,95,35,92,90.0,16.0,83.0,Canada,4.7,404.0,0.0,0.0,15,4b80700e397ebaf1441b02c0ec02c5cfea4d298ed0477bcf9e86da4ec1ee3df1
7.8,97,47,96,93.0,13.0,74.0,Bangladesh,4.9,399.0,1.0,1.0,5,f8d556369568750b11a45e4454f7001e6205f94be77dee22ff95d430d30e00fe
7.5,98,30,93,93.0,37.0,91.0,Bangladesh,4.8,216.0,1.0,3.0,3,52c71190b0828a78cf9c48ae982b6a1b92ab06ebab5f376bd115556c9ffa8e62
6.6,92,10,100,93.0,17.0,85.0,India,5.0,24.0,1.0,2.0,6,c768d8c130ef9275da6908db9b1d9013fac00f0f4891390099e98772bec000f6
9.4,99,15,94,93.0,18.0,81.0,India,4.9,1339.0,0.0,0.0,9,060f814c5a5592a8df817c817274cdb9d0b51708874c172b4fc12508d793b709
8.6,100,45,100,100.0,7.0,70.0,Ukraine,5.0,25.0,1.0,1.0,6,a488bd7da416bd5f9a6c56b2b8b53a3ef4231548d0821013fa43dfdc4fa70dc8
7.9,97,15,100,100.0,16.0,93.0,India,5.0,82.0,1.0,3.0,1,19b52fe3ecd93884f3fb94d204f43f64730d58e17814628cad01cc7e8fd0e6ac
7.6,100,60,100,100.0,19.0,59.0,Netherlands,5.0,51.0,0.0,0.0,15,502739856b72e984002705828b30f188fb2c38c061ce42548a2d49d8e1c079b1
7.4,97,20,99,100.0,35.0,62.0,Pakistan,5.0,66.0,1.0,3.0,4,8b058108425f33d2fb40da6084559d197ffea83e9f36ff37fb2a11238c28f504
8.6,100,100,100,99.0,27.0,81.0,Pakistan,5.0,510.0,1.0,1.0,3,eeefabf663c4db0c3f77cd32fc969da75283063c90e9e8c3dda68622a728783b
9.1,98,20,98,97.0,17.0,75.0,India,4.9,912.0,1.0,3.0,3,83c495131ee82d2b51cfe6dc83912acf709d8fba55791435c21767dc09bf3ec6
7.6,95,50,92,98.0,12.0,75.0,Pakistan,4.8,132.0,1.0,3.0,3,b409cf15aa207a44d185dd48a5a68acf6f9ba2340a8631e8e2e897c87853213e
9.1,99,60,98,97.0,32.0,91.0,Tunisia,5.0,626.0,1.0,2.0,5,8f45824c7b7f0d413e20b122be535bfaf722b05f394cf35e7a7007738efcf065
6.6,100,30,100,98.0,12.0,64.0,Pakistan,5.0,15.0,1.0,2.0,0,8337b7902abae1ba0285f077fbf864dbefacd80a3148756951b11366143908c1
8.4,97,40,96,99.0,26.0,81.0,Nigeria,4.9,240.0,1.0,0.0,2,de367786d8541e4120763d96778ba0539b593144f8e38dd4893da517d248c4ea
7.0,93,20,95,98.0,15.0,77.0,Pakistan,4.9,113.0,1.0,3.0,2,c561c43bae9557ceb265106fb53daf4bca980618fabed1736bf284dfbd272eae
8.2,97,15,99,98.0,19.0,93.0,India,5.0,77.0,1.0,2.0,6,6abca790cb3aa5cf1bc10ee286099ead847740a10217a1f1898671296a454271
8.2,91,18,93,96.0,7.0,78.0,India,4.9,191.0,1.0,2.0,2,057c98b259224398a1c8963b86cc12c93341cb710666c3550ea64f416fb246af
8.9,94,23,90,97.0,15.0,97.0,India,4.7,170.0,1.0,3.0,6,fc24d4440504906d8c0af0ba786c0c67b65bead91c20e3b19c435471a94aa7d8
9.9,99,50,99,99.0,23.0,93.0,Pakistan,5.0,497.0,1.0,1.0,8,854e260f223e466be3cd5c8cb0f49ceba87edd9d28b58a0688aef4cdb12f84ad
